,text,label
2003,dems in congress must return me to store and replace president for another one as batteries not included despite the great job done by companies ceasing rechargeable batteries behalf of me will only get better. big sections of store shelves taking me down as ive small parts,1
2004, this election will be between the ppl of the nation and bjp and u will see how we clean them up forever and ever . ,1
2005,cash in circulation has jumped by .% higher than predemonit period. promoting digital transactions was claimed to be one of the reasons for noteban. with this purpose too biting dustno wonder demonit is conspicuously absent from bjps election agenda,1
2006,‘mard’ to hit the hustings against ‘chowkidar modi’ ,1
2007, what was col purohit doing in army? watching paint dry?why did your administration fix him in bogus case? was it because upa could not respond to jihadi attacks so thought its easier to just create false equivalency with hindu terror,1
2008,the bjp has been trained to lie. its time people started questioning them. ,1
2009,building construction general election bjp will elect once again ,1
2010,last month leading newspaper published information about offshore account and transactions of odissa bjd leader jay he joined bjp become clean of all corruptions. this incident do reminds us of a similar cleaning drive of one of our present bjp leader from assam ,1
2011, the starr report being delivered to congress. why did we get all the details about a presidential affair and only a page summary prepared by a partisan ag when it involves a foreign adversary? ,1
2012,this is a new system in india that if you abuse the most gentleman most educated world’s best economist manmohan singh ji so you are a deshbhakt. but if you will even ask a question to pm modi ji so you are deshdrohi. then where is democracy? is it not hitler’s democracy?,1
2013,there is more to life than increasing its speed. mahatma gandhi,1
2014,fam professor david austin bringing the dopest history of black radical montreal host to the congress of black writers with walter rodney bobby hill anne cools franklin harvey alfie roberts tim hector clr james new jewel abeng origins much more. caribbean roots,1
2015,mr. modi says he has given more to ap than the special category status. so why does his party and govt walk away from an open debate. this has been challenged multiple times. no response but political grandstanding is being done. gobackmodi gobacksadistmodi,1
2016,when you ask bjp leaders about vikas. 😂 ,1
2017,a rapists tweet gets liked by k bjp supporters which shows what kind of mentality the core bjp supporters actually have. ,1
2018,we should wipe out bjp from india.. vote wisely. 😎😎👍👍 phase votinground trollsangh mainhindustanhoon voteforchange bjpभगाओदेशबचाओ voteforcongress shameonpmmodi ,1
2019,ghis is what u can do pakistan. you are beating a soldier who is alone. but look at his brave face still he has no fear. ,1
2020, what’s more sadder is that it was scripted like all of modi’s events/public interactions .,1
2021,big rti reveals banks took back money deposited into farmers’ accounts under pmkisan thousands affectedaround rs . crore was taken back by sbi alone. unbelievable how low will this go this is how are suffering farmers are threated,1
2022,good for you mr president one down many to go. now we the people would like to remove some radical extremists from congress. superpatriots wwgwga trumplandslide magaveteran ,1
2023,/ mumbai pai attacks.. manollu revenge sangathi devudu erugu... congress leaders aa attacks rss vallu chesaru ane book launch chesaru... neverforget neverforgive. dummy hindus support this bloddy hell party for silly reasons.. slaves ,1
2024,modi is not duty bound to reveal his election strategy in order to satisfy your curiosity.. ,1
2025,the district omar represents sent antisemite keith ellison to congress. shell be her out will be portrayed as silencing criticism of israel bolster her status as a brave truth dems must ask if this is the party they want to be. ,1
2026,rahul gandhi calls me masood azhar ji while my own pm is treating me like a criminal says an emotional jaish chief ,1
2027, mp election video viral as bjp and election commission illegally hoarding evms ,1
2028,did pt. nehru steal the pms post from sardar patel? did he call bose a war criminal? watch dr. bust these common myths and several others that have been spread by bjps fake news factory. ,1
2029,thanku for the live section and thanku for sing a little part of chaleaana der se aye aap par hamesh ki tarah great aye,1
2030,is it true? is what i heard about manishankaraiyar true? it is a big loss for last time he helped party get to and alliance to . he would have managed for bjp and + for alliance. anyway aum shanticollateral damage of balakotstrike,1
2031,the local mp ap bjp president kambhampatti haribabu has to answer the people of visakhapatnam as he failed to bring the railway zone modimukthbharath apdemandsjustice apwithcbn gobackmodi railwayzonevizag,1
2032,actually members of congress do get a security clearance that you don’t have. and members of the intel committee have an even higher security clearance that other members of congress do not have. just so you know.... justthefacts ,1
2033,rahul gandhis rainandradar dig at pm modi after balakot comments ,1
2034,. we can’t be blind to the efforts by the left – personified by virtually the entire group of elected dems in congress – to undermine the constitution and to destroy the republic as it was founded. we can either watch its demise from the sidelines or get personally engaged,1
2035,now back to who begins by asking about the mpp program. its not clear to me how this program works and dhs has only recently begun providing limited details to congress despite expansion to new areas.,1
2036,look at sonia gandhi ... ,1
2037,a person in delhi if uses electricity wisely keeps overall consumption lowhe can save rs.rs.=rs./m== rs./annum= =/yrsas compared to a person from mumbaithanks everyone for electing over congress/bjp🙏😇 ,1
2038,hats 🎩 off to you festive day for india 🇮🇳. pm proved again ‘ तुम एक मारोगे हम चार मारेंगे’ this time more than four i guess 😜. strikeback surgicalstrike indiastrikesagain ,1
2039, first rule of being hero .. you dont do it for fame... second rule you dont fight for name ..third you dont do it for yourself..fourth .. is modi eligible now?? 😂😂,1
2040, smt shweta shalini as a spokesperson of bjp maharashtra had accepted that menscommission is needed. should be scrapped and changed to family commission. great.savemen m fakecases fakefeminismscrapadvgenderbiasedlaws ,1
2041, they r creating perception of corruption by modi. ecosystem is spreading it to mislead gullible voter and chip some bjp voters.,1
2042,shame on your crook minds tsgovtstealsdata data ,1
2043,he uncovered assassination and terror plots whenever the modi govt ran into trouble for their incompetence and corruption. it became a pattern that desensitized the public. the consequence of that boot licking killed crpf soldiers today.,1
