,text,label
0,bhai sal pehle desh me kya tha pehle pta kro desh waise ka waise kaise hai,0
1,chutiya friday ko isliye releae krte kyoki week end ke din milte h to log free hokr film dekh sake.. hd h yrr chutiyapa ki,0
2,जय मोदीराज,0
3,upa walo ne bahot kuch kr diya tha desh k liye,0
4,pan ko aadhar se link ki zarurat kuy hai? supreme court ne ye bola hi nahi,0
5,"काकर पाथर जोड़ के मस्जिद लई बनाय।ता चढ़ि मुल्ला बांघ दे , क्या बहरा हुआ खुदाय। यह मैं नहीं कबीर ने कहा था।",1
6,us raat tere papa k jageh mera sperm gya tha use of technology aur tere papa ko pta v na chala 😂😂😂chutiya,1
7,गटर के कीड़े,1
8,waise bandhu jet lag se bachne ke liye raat ko baje ke baad so jao,0
9,"get your love back +-() and all_problems_solution_with_in__hours one call change life समस्या चाहे कैसी भी हो जड़ से खत्म।बड़ी से बड़ी समस्या का समाधान।%अपने मन चाहे प्यार को पाना, काम कारोबार, किया कराया, सोतन से छुटकारा, पति - पत्नी में अनबन, +-()",0
10,विदिशा से बीजेपी की सुषमा स्वराज आगे,0
11,bhaii tume lagta bjp ne kia h ye to fir aao politics me sudharo society.....,0
12,es kutte ko jail me daal do .desh drohi hai,1
13,सीनाजोरी,1
14,haan sahi kaha jab pm ko jutey padh saktey wo bhi inch ko to congress neta kis kheht ki muli hai,0
15,"arwin khwabon se bahar niklo aur dekho kashmir india ka tha, h, aur rhega. and vase bhi kashmir m hum kaafiron k bahut sare religious places h jo uski beauty ko chaar chand lgate h tum terrorist ka toh sirf terrorism h jo uski beauty ko brbaad kr rha h. tum log jisko jo kuch kehte ho usse janane m hume koi interest nhi h isliye faltu m bako mt k hum isko ye kehte h hum usko woh kehte h vagarah vagarah.",0
16,श्री श्री जिनके लिए पूरी सरकार ने दिल्ली मे यमुना भी बरबाद होने दी सारी सुविधा दी उनसे मिलने से देशविरोध का क्या मतलब बेशक कोई और मिलता तो उसे तमगा और पाकिस्तान का निवास मिलते,1
