,text,label
0, tej bahadur is looking all set to become the join opposition candidate in varanasi against modi spbsp will remove the xe x xa,1
1, which law made by pm modi says tribals can be shot dead tribals will be attacked? servile media gives a pass to bunk xe x xa,1
2, ramayana stamps released by pm modi ,1
3, republic tv falsely portrays man praising pm modi as a congress mla ,1
4, mr modi thinks he can rule india by keeping the people in a state of fear the people will vote for a country where t xe x xa,1
5,bpm modi addresses national traders convention namo app ,1
6, tej bahadur is looking all set to become the join opposition candidate in varanasi against modi spbsp will remove the xe x xa,1
7, jis din asi hawa chali samaj lo ki puri hawa hi polluted ho gai hai and no can breath that day may be d xe x xa ,1
8,b modis age as on date yrs as per modi tales he spent at home as kid yrs begged for yrs was underground during emer xe x xa,1
9,b priyanka gandhi vadra congress in bahraich even today i do not know his pm modis caste the opposition and the congres xe x xa,1
10,bpm modis interview to times now namo app ,1
11, one on one debatechallenge following mp candidates should debate which each other so people can decide who is a better xe x xa,1
12, remove modi for kejriwal the mudda in this election is removing modi he has no answer to give us on what next after xe x xa,1
13, under modi india has only slipped further behind geopolitical rival china my datarich analysis for with plen xe x xa,1
14, tej bahadur is looking all set to become the join opposition candidate in varanasi against modi spbsp will remove the xe x xa,1
15, nonpolitical interview of modi ji ft xf xf x x xf xf x x full video ,1
16, modi govt has proposed a law that allows forest dept afspalike draconian powers to shoot tribals and others search arrest a xe x xa,1
17, tej bahadur is looking all set to become the join opposition candidate in varanasi against modi spbsp will remove the xe x xa,1
18,pm modi addresses public meeting in buniadpur west bengal namo app ,1
19, modiwaveelection why is mamata banerjee and chandrababu naidu lying to their teeth saying that modi will change the consti xe x xa,1
20, hey propagandist roshan rai poora clip upload karne me darr lagta hai kya? exactly what modi ji said in nex xe x xa,1
21, i seriously think bjp should immediately ask ec to ban avengers endgame looks like this movie is funded by the opposition xe x xa,1
22, modi promise udhyogpati all is well for the confirmation of the setting for businessman after xe x xa ,1
23, xe x xspeedbreaker didi xe x x totally deceived the people and their aspirations in the name of xe x xmaa maati maanush xe x x pm mod xe x xa ,1
24,lion always walks alone great message by mainbhichowkidar team by srikanth modi jaihind straightfromheart xe x xa ,1
25, congress to move sc tomorrow over inaction by ec on their complaints against pm modi and amit shah for violating mcc b xe x xa,1
